decimalLongitude,decimalLatitude
-124.05,41.53
-124.03,41.53
-124.04,41.53
-123.49,41.53
-124,41.53
-124.03,41.52
-123.99,41.52
-124,41.52
-123.48,41.51
-124,41.5
-123.46,41.5
-123.47,41.5
-124.03,41.5
-123.49,41.45
-123.48,41.44
-123.49,41.44
-123.5,41.44
-123.52,41.41
-123.54,41.4
-123.5,41.4
-123.49,41.39
-123.65,41.38
-123.43,41.38
-123.49,41.38
-123.41,41.36
-123.41,41.35
-124.02,41.35
-123.45,41.34
-123.39,41.34
-123.5,41.34
-124.03,41.34
-123.7,41.33
-124.03,41.33
-123.57,41.32
-124,41.32
-123.54,41.31
-124.02,41.3
-123.36,41.3
-124.05,41.3
-123.62,41.28
-124.03,41.28
-123.79,41.27
-123.85,41.27
-123.43,41.27
-123.99,41.27
-123.82,41.26
-123.41,41.26
-123.51,41.26
-123.37,41.26
-123.93,41.26
-123.91,41.24
-123.27,41.24
-123.66,41.24
-123.64,41.24
-123.44,41.23
-123.71,41.23
-123.66,41.23
-123.78,41.2
-123.69,41.19
-123.74,41.18
-123.92,41.15
-123.64,41.13
-123.75,41.13
-123.69,41.13
-123.68,41.13
-123.66,41.12
-123.71,41.11
-123.69,41.1
-123.73,41.08
-123.77,41.06
-123.56,41.06
-123.54,41.06
-123.66,41.05
-123.52,41.05
-123.52,41.04
-123.58,41.03
-123.52,41.03
-123.64,41.02
-124.08,41.01
-123.74,41
-123.9,40.98
-123.6,40.96
-123.66,40.95
-123.89,40.95
-123.53,40.95
-123.7,40.94
-123.66,40.94
-123.55,40.94
-123.63,40.94
-123.62,40.94
-123.65,40.93
-123.9,40.93
-123.96,40.92
-123.7,40.92
-123.76,40.92
-123.79,40.92
-123.91,40.92
-123.56,40.92
-123.74,40.91
-123.55,40.91
-123.92,40.91
-123.57,40.89
-123.59,40.89
-123.94,40.89
-123.67,40.89
-123.47,40.88
-123.55,40.88
-123.66,40.88
-123.65,40.87
-123.53,40.87
-123.57,40.87
-123.55,40.87
-123.51,40.87
-123.71,40.86
-123.74,40.84
-123.5,40.84
-123.54,40.84
-123.62,40.84
-123.58,40.77
-123.93,40.75
-123.58,40.74
-123.99,40.66
-122.958,41.743
-123.031,41.774
-123.294,41.813
-123.265,41.833
-123.086,41.872
-123.13,41.875
-123.09,41.881
-123.132,41.886
-123.15,41.89
-123.149,41.894
-123.133,41.896
-123.12,41.9
-123.104,41.9
-123.113,41.903
-123.141,41.905
-123.09,41.94
-123.14,41.942
-123.17,41.95
-123.183,41.972
-123.12,41.978
-123.176,41.984
-123.063,41.984
-123.16,41.99
-123.128,41.996
-123.15,42
-123.142,42
-123.14,42
-123.121,42
-123.082,42
-123.039,42
-123.155,42.008
-123.153,42.013
-123.146,42.009
-123.156,42.017
-123.163,42.018
-123.144,42.02
-123.14,42.02
-123.193,42.028
-123.175,42.029
-123.18,42.03
-123.176,42.035
-123.076,42.06
-123.106,42.074
-123.099,42.076
-123.217,42.078
-123.025,42.087
-123.17,42.09
-123.02,42.091
-123.195,42.105
-123.118,42.112
-123.237,42.12
-123.08,42.12
-123.223,42.133
-123.217,42.134
-123.067,42.14
-123.06,42.149
-123,42.149
-123.081,42.153
-123.099,42.163
-123.139,42.177
-123.001,42.178
-123.079,42.207
-123.165,42.225
-123.13,41.73
-123.09,41.75
-123.031,41.774
-123.03,41.74
-123.01,41.72
-122.958,41.743
