"decimalLongitude","decimalLatitude"
-123.53,44.47
-123.533,46.375
-123.54,48.47
-123.54,47.6
-123.54,46.36
-123.54,44.59
-123.54,44.51
-123.54,44.47
-123.54,44.37
-123.54,43.41
-123.55,48.48
-123.55,48.45
-123.55,46.37
-123.55,46.35
-123.55,44.51
-123.55,44.5
-123.554,46.365
-123.56,48.46
-123.56,44.5
-123.56,44.42
-123.56,43.87
-123.56,43.37
-123.57,46.05
-123.57,44.76
-123.57,44.54
-123.57,44.512
-123.57,44.508
-123.57,44.5
-123.57,43.63
-123.576,43.848
-123.58,47.57
-123.58,46.82
-123.58,45.37
-123.58,44.49
-123.59,48.01
-123.59,44.47
-123.59,44.41
-123.59,43.08
-123.6,48.02
-123.6,46.98
-123.61,47.56
-123.61,46.78
-123.61,43.39
-123.62,47.55
-123.62,44.38
-123.62,44.27
-123.63,47.55
-123.63,47.3
-123.63,44.53
-123.63,44.39
-123.63,43.8
-123.64,47.547
-123.64,43.96
-123.64,43.51
-123.65,48.56
-123.65,43.43
-123.65,43.17
-123.66,48.58
-123.66,48.57
-123.66,43.51
-123.66,43.41
-123.66,43.15
-123.665,47.54
-123.67,47.54
-123.67,43.55
-123.67,43.54
-123.68,48.73
-123.68,47.53
-123.68,43.54
-123.69,45.96
-123.69,47.98
-123.69,47.47
-123.69,46.97
-123.69,45.74
-123.69,44.42
-123.69,44.29
-123.7,48.78
-123.7,47.53
-123.7,44
-123.7,43.14
-123.702,42.793
-123.71,47.43
-123.72,48.38
-123.72,44.41
-123.72,44.38
-123.73,47.5
-123.73,46.69
-123.73,45.93
-123.73,44.54
-123.73,43.14
-123.74,43.14
-123.75,48.07
-123.75,47.75
-123.75,46.19
-123.75,45.91
-123.754,43.807
-123.76,47.16
-123.76,46.59
-123.76,46.1
-123.76,43.11
-123.76,42.97
-123.764,47.504
-123.77,44.32
-123.77,44.3
-123.77,43.81
-123.77,43.55
-123.78,47.5
-123.78,47.48
-123.789,48.058
-123.79,48.06
-123.79,48.05
-123.79,46.07
-123.79,43.15
-123.8,47.17
-123.8,46.66
-123.8,46.58
-123.8,46.06
-123.8,44.06
-123.81,48.05
-123.81,47.5
-123.81,44.38
-123.81,44.37
-123.81,43.79
-123.81,43.12
-123.82,48.05
-123.82,46.8
-123.83,47.48
-123.83,47.45
-123.83,47.31
-123.83,44.38
-123.84,49.1
-123.84,44.41
-123.84,44.39
-123.84,43.59
